trade_number,direction,confidence,instrument,quantity,entry_price_option,exit_price_option,result,pnl,entry_time,exit_time,exit_reason

1,LONG,0.760200023651123,CNXBAN56600CE,30,182.8,168.35,LOSS,-433.5,2025-06-25 12:36:03,2025-06-25 15:13:02,EOD
2,LONG,0.7569000124931335,CNXBAN56600CE,30,194.55,169.85,LOSS,-741.0,2025-06-25 12:58:05,2025-06-25 15:13:04,EOD
3,LONG,0.8147000074386597,CNXBAN56600CE,30,198.0,170.35,LOSS,-829.5,2025-06-25 13:01:07,2025-06-25 15:13:07,EOD
4,LONG,0.7516000270843506,CNXBAN56600CE,30,207.8,171.35,LOSS,-1093.5,2025-06-25 13:21:04,2025-06-25 15:13:11,EOD
5,LONG,0.7958999872207642,CNXBAN56600CE,30,205.5,170.25,LOSS,-1057.5,2025-06-25 13:28:05,2025-06-25 15:13:14,EOD
6,LONG,0.7605999708175659,CNXBAN56600CE,30,205.55,169.15,LOSS,-1092.0,2025-06-25 13:31:03,2025-06-25 15:13:17,EOD
7,LONG,0.7605999708175659,CNXBAN56600CE,30,211.85,170.0,LOSS,-1255.5,2025-06-25 13:32:06,2025-06-25 15:13:21,EOD
8,LONG,0.7544999718666077,CNXBAN56600CE,30,194.05,169.95,LOSS,-723.0,2025-06-25 14:22:05,2025-06-25 15:13:25,EOD
4,LONG,0.894599974155426,CNXBAN57400CE,35,1003.55,979.95,LOSS,-826.0,2025-06-27 13:38:20,2025-06-27 14:19:04,EMA_REV
1,LONG,0.8281999826431274,CNXBAN57400CE,35,1021.15,992.65,LOSS,-997.5,2025-06-30 09:48:02,2025-06-30 09:52:04,SL
2,LONG,0.795199990272522,CNXBAN57400CE,35,1019.25,980.55,LOSS,-1354.5,2025-06-30 09:50:41,2025-06-30 10:03:04,SL
3,LONG,0.7746999859809875,CNXBAN57400CE,35,1036.35,962.0,LOSS,-2602.25,2025-06-30 10:22:04,2025-06-30 13:50:04,SL
3,LONG,0.7746999859809875,CNXBAN57400CE,35,1036.35,962.35,LOSS,-2590.0,2025-06-30 10:22:04,2025-06-30 13:50:12,SL
3,SHORT,0.77,CNXBAN57300PE,35,752,790.05,WIN,1331.75,2025-07-01 09:39:02,2025-07-01 11:00:03,TP
1,SHORT,0.7950999736785889,CNXBAN57300PE,35,747.2,792.4,WIN,1582.0,2025-07-01 09:36:02,2025-07-01 11:01:07,TP
2,SHORT,0.8790000081062317,CNXBAN57300PE,35,745.5,795.3,WIN,1743.0,2025-07-01 09:38:02,2025-07-01 11:02:03,TP
3,SHORT,0.8274000287055969,CNXBAN57200PE,35,748.5,724.95,LOSS,-824.25,2025-07-01 11:08:03,2025-07-01 11:18:05,SL
2,SHORT,0.7777000069618225,CNXBAN57300PE,35,716.15,707.5,LOSS,-302.75,2025-07-02 09:36:02,2025-07-02 09:39:03,SL
1,SHORT,0.7694000005722046,CNXBAN57300PE,35,710.7,735.0,WIN,850.5,2025-07-02 09:32:02,2025-07-02 09:41:10,TP
3,SHORT,0.8044000267982483,CNXBAN57300PE,35,718.0,736.35,WIN,642.25,2025-07-02 09:40:05,2025-07-02 09:41:14,TP
6,SHORT,0.7978000044822693,CNXBAN57300PE,35,737.9,765.0,WIN,948.5,2025-07-02 09:57:04,2025-07-02 10:02:06,TP
7,SHORT,0.79830002784729,CNXBAN57200PE,35,718.15,705.1,LOSS,-456.75,2025-07-02 10:06:03,2025-07-02 10:12:04,SL
5,SHORT,0.8129000067710876,CNXBAN57300PE,35,747.65,782.4,WIN,1216.25,2025-07-02 09:45:04,2025-07-02 11:11:03,TP
9,SHORT,0.7982000112533569,CNXBAN57200PE,35,722.75,710.2,LOSS,-439.25,2025-07-02 11:47:04,2025-07-02 11:50:11,SL
10,SHORT,0.795199990272522,CNXBAN57100PE,35,692.0,674.15,LOSS,-624.75,2025-07-02 12:18:04,2025-07-02 12:24:09,SL
8,SHORT,0.7641000151634216,CNXBAN57200PE,35,709.05,743.1,WIN,1191.75,2025-07-02 10:32:04,2025-07-02 12:50:08,TP
4,SHORT,0.8030999898910522,CNXBAN57300PE,35,734.8,798.1,WIN,2215.5,2025-07-02 09:42:05,2025-07-02 12:51:06,TP
11,SHORT,0.7827000021934509,CNXBAN57100PE,35,699.7,691.0,LOSS,-304.5,2025-07-02 12:55:07,2025-07-02 13:02:04,SL
12,LONG,0.7943000197410583,CNXBAN56900CE,35,1013.55,1005.75,LOSS,-273.0,2025-07-02 14:23:03,2025-07-02 14:27:05,SL
14,LONG,0.8184000253677368,CNXBAN56900CE,35,1012.55,1000.3,LOSS,-428.75,2025-07-02 14:34:02,2025-07-02 14:39:03,SL
13,LONG,0.786899983882904,CNXBAN56900CE,35,1012.15,1032.0,WIN,694.75,2025-07-02 14:26:04,2025-07-02 14:59:07,TP
1,SHORT,0.7509999871253967,CNXBAN57000PE,35,680.0,618.95,LOSS,-2136.75,2025-07-03 09:34:03,2025-07-03 09:51:08,SL
2,LONG,0.8320000171661377,CNXBAN57100CE,35,958.55,934.45,LOSS,-843.5,2025-07-03 11:28:03,2025-07-03 11:31:24,SL
3,LONG,0.8216999769210815,CNXBAN57100CE,35,928.85,900.75,LOSS,-983.5,2025-07-03 11:32:05,2025-07-03 11:43:05,SL
4,LONG,0.7555999755859375,CNXBAN57100CE,35,942.0,892.1,LOSS,-1746.5,2025-07-03 11:35:38,2025-07-03 11:46:07,SL
5,LONG,0.791100025177002,CNXBAN57000CE,35,939.9,907.6,LOSS,-1130.5,2025-07-03 12:37:03,2025-07-03 13:17:05,SL
6,LONG,0.7734000086784363,CNXBAN57000CE,35,952.0,911.35,LOSS,-1422.75,2025-07-03 12:41:04,2025-07-03 13:17:09,SL
1,LONG,0.8108000159263611,CNXBAN56900CE,35,917.1,882.75,LOSS,-1202.25,2025-07-04 09:28:02,2025-07-04 09:31:08,SL
3,LONG,0.8561999797821045,CNXBAN56800CE,35,947.45,899.9,LOSS,-1664.25,2025-07-04 10:23:04,2025-07-04 11:39:04,SL
2,LONG,0.8057000041007996,CNXBAN56800CE,35,943.3,886.9,LOSS,-1974.0,2025-07-04 10:22:04,2025-07-04 11:40:06,SL
5,LONG,0.9013000130653381,CNXBAN56700CE,35,910.05,982.05,WIN,2520.0,2025-07-04 12:38:02,2025-07-04 13:59:06,TP
4,LONG,0.8428000211715698,CNXBAN56700CE,35,907.25,1098.8,WIN,6704.25,2025-07-04 12:37:04,2025-07-04 14:44:10,TP
3,LONG,0.855400025844574,CNXBAN57000CE,35,868.45,857.95,LOSS,-367.5,2025-07-07 10:49:04,2025-07-07 10:51:05,SL
2,LONG,0.8399999737739563,CNXBAN57000CE,35,852.6,970.0,WIN,4109.0,2025-07-07 10:44:04,2025-07-07 11:00:09,TP
4,LONG,0.8773999810218811,CNXBAN57000CE,35,856.6,837.0,LOSS,-686.0,2025-07-07 10:50:04,2025-07-07 12:11:05,SL
5,LONG,0.8194000124931335,CNXBAN57000CE,35,871.05,828.1,LOSS,-1503.25,2025-07-07 10:52:05,2025-07-07 12:17:09,SL
6,LONG,0.8560000061988831,CNXBAN56900CE,35,904.1,902.05,LOSS,-71.75,2025-07-07 12:40:04,2025-07-07 12:40:09,TP
7,LONG,0.8485000133514404,CNXBAN56900CE,35,907.05,886.6,LOSS,-715.75,2025-07-07 12:41:04,2025-07-07 12:57:05,SL
1,LONG,0.8730000257492065,CNXBAN57000CE,35,853.55,858.0,WIN,155.75,2025-07-07 10:43:04,2025-07-07 15:13:07,EOD
8,LONG,0.8748999834060669,CNXBAN56900CE,35,879.1,913.4,WIN,1200.5,2025-07-07 12:58:04,2025-07-07 15:13:09,EOD
3,LONG,0.8503000140190125,CNXBAN57100CE,35,861.75,855.05,LOSS,-234.5,2025-07-08 13:54:03,2025-07-08 13:59:05,SL
1,LONG,0.8535000085830688,CNXBAN57100CE,35,854.75,895.8,WIN,1436.75,2025-07-08 12:00:04,2025-07-08 15:01:05,TP
1,LONG,0.9,CNXBAN100CE,35,10.0,15.0,WIN,175.0,2025-07-09 14:51:15,2025-07-09 14:51:16,EOD
1,LONG,0.9,CNXBAN100CE,35,10.0,15.0,WIN,175.0,2025-07-09 14:55:56,2025-07-09 14:55:58,EOD
1,LONG,0.9,CNXBAN100CE,35,10.0,15.0,WIN,175.0,2025-07-09 15:00:36,2025-07-09 15:00:37,EOD
1,LONG,0.9,CNXBAN57200CE,35,796.75,794.9,LOSS,-64.75,2025-07-09 15:04:06,2025-07-09 15:04:11,EOD
1,LONG,0.9,CNXBAN100CE,35,10.0,15.0,WIN,175.0,2025-07-09 15:06:35,2025-07-09 15:06:36,EOD
1,LONG,0.9,CNXBAN100CE,35,10.0,15.0,WIN,175.0,2025-07-09 15:18:01,2025-07-09 15:18:02,EOD
1,SHORT,0.6492999792098999,CNXBAN56700PE,35,534.4,533.45,LOSS,,2025-07-11 10:42:29,2025-07-11 10:42:32,FIXED_SL
2,SHORT,0.5730999708175659,CNXBAN56700PE,35,534.65,532.5,LOSS,,2025-07-11 10:42:31,2025-07-11 10:42:40,FIXED_SL
3,LONG,0.8668000102043152,CNXBAN56700CE,35,763.5,763.3,LOSS,,2025-07-11 10:42:35,2025-07-11 10:42:43,FIXED_TP
4,LONG,0.852400004863739,CNXBAN56700CE,35,764.0,764.1,WIN,,2025-07-11 10:42:39,2025-07-11 10:42:52,FIXED_TP
5,LONG,0.8668000102043152,CNXBAN56700CE,35,737.45,733.4,LOSS,,2025-07-11 10:45:27,2025-07-11 10:45:32,FIXED_TP
1,LONG,0.6797000169754028,CNXBAN56700CE,35,748.5,752.15,WIN,,2025-07-11 11:12:30,2025-07-11 11:12:38,FIXED_TP
2,LONG,0.8996000289916992,CNXBAN56700CE,35,735.0,733.95,LOSS,,2025-07-11 11:22:03,2025-07-11 11:22:08,FIXED_TP
3,LONG,0.9222000241279602,CNXBAN56700CE,35,730.0,754.1,WIN,,2025-07-11 11:28:18,2025-07-11 11:32:05,FIXED_TP
1,LONG,,CNXBAN56800CE,35,700.4,726.85,WIN,,2025-07-14 10:06:09,2025-07-14 10:16:03,FIXED_TP
2,LONG,,CNXBAN56800CE,35,731.75,632.4,LOSS,,2025-07-14 10:10:05,2025-07-14 11:25:06,FIXED_SL
3,LONG,,CNXBAN56800CE,35,708.75,626.2,LOSS,,2025-07-14 10:36:05,2025-07-14 11:27:02,FIXED_SL
8,LONG,,CNXBAN56600CE,35,726.4,746.5,WIN,,2025-07-14 11:54:04,2025-07-14 12:09:07,FIXED_TP
6,LONG,,CNXBAN56600CE,35,729.5,744.0,WIN,,2025-07-14 11:46:07,2025-07-14 12:11:05,FIXED_TP
7,LONG,,CNXBAN56600CE,35,738.1,761.0,WIN,,2025-07-14 11:51:07,2025-07-14 12:19:08,FIXED_TP
11,LONG,,CNXBAN56600CE,35,725.2,744.85,WIN,,2025-07-14 14:03:05,2025-07-14 14:25:11,FIXED_TP
10,LONG,0.869516650835673,CNXBAN56600CE,35,741.9,761.2,WIN,,2025-07-14 13:53:44,2025-07-14 14:45:13,FIXED_TP
